,country,target_date,target
0,Morocco,2021-09-05,30667.0
1,Bulgaria,2021-09-05,11480.0
2,Liberia,2021-09-05,0.0
3,Tajikistan,2021-09-05,203.0
4,Timor-Leste,2021-09-05,1169.0
5,Congo (Brazzaville),2021-09-05,0.0
6,France,2021-09-05,93352.0
7,Taiwan*,2021-09-05,42.0
8,Albania,2021-09-05,6272.0
9,Tunisia,2021-09-05,13832.0
10,Vanuatu,2021-09-05,0.0
11,Ireland,2021-09-05,9849.0
12,Djibouti,2021-09-05,42.0
13,Eritrea,2021-09-05,7.0
14,China,2021-09-05,196.0
15,Benin,2021-09-05,0.0
16,Costa Rica,2021-09-05,19250.0
17,Belgium,2021-09-05,15428.0
18,South Sudan,2021-09-05,70.0
19,Latvia,2021-09-05,2478.0
20,Dominica,2021-09-05,0.0
21,Saint Lucia,2021-09-05,868.0
22,Iceland,2021-09-05,378.0
23,Trinidad and Tobago,2021-09-05,1309.0
24,Kazakhstan,2021-09-05,34062.0
25,Monaco,2021-09-05,56.0
26,Sri Lanka,2021-09-05,26796.0
27,Paraguay,2021-09-05,581.0
28,Czechia,2021-09-05,1834.0
29,Suriname,2021-09-05,2240.0
30,San Marino,2021-09-05,0.0
31,Kuwait,2021-09-05,721.0
32,Switzerland,2021-09-05,18928.0
33,Sierra Leone,2021-09-05,7.0
34,Micronesia,2021-09-05,0.0
35,Armenia,2021-09-05,4165.0
36,Comoros,2021-09-05,21.0
37,Kiribati,2021-09-05,0.0
38,Uganda,2021-09-05,805.0
39,Luxembourg,2021-09-05,616.0
40,Seychelles,2021-09-05,322.0
41,Germany,2021-09-05,97418.62499441253
42,Bolivia,2021-09-05,2884.0
43,Indonesia,2021-09-05,47089.0
44,New Zealand,2021-09-05,168.0
45,Angola,2021-09-05,1498.0
46,Qatar,2021-09-05,1211.0
47,Senegal,2021-09-05,399.0
48,Grenada,2021-09-05,728.0
49,Kosovo,2021-09-05,9681.0
50,Guatemala,2021-09-05,26796.0
51,Mexico,2021-09-05,109102.0
52,Belarus,2021-09-05,12852.0
53,Egypt,2021-09-05,2121.0
54,Canada,2021-09-05,27678.0
55,Eswatini,2021-09-05,1582.0
56,Botswana,2021-09-05,0.0
57,Zambia,2021-09-05,1253.0
58,US,2021-09-05,1072001.0
59,Brunei,2021-09-05,714.0
60,Russia,2021-09-05,127834.0
61,Lesotho,2021-09-05,0.0
62,Nigeria,2021-09-05,4074.0
63,Bahrain,2021-09-05,665.0
64,Cuba,2021-09-05,46263.0
65,Venezuela,2021-09-05,6587.0
66,Holy See,2021-09-05,0.0
67,Pakistan,2021-09-05,26747.0
68,Chile,2021-09-05,3318.0
69,Niger,2021-09-05,42.0
70,Ethiopia,2021-09-05,9268.0
71,Somalia,2021-09-05,672.0
72,North Macedonia,2021-09-05,5040.0
73,Argentina,2021-09-05,32571.0
74,Cabo Verde,2021-09-05,805.0
75,Cameroon,2021-09-05,0.0
76,Gabon,2021-09-05,0.0
77,Dominican Republic,2021-09-05,1995.0
78,Singapore,2021-09-05,1337.0
79,Rwanda,2021-09-05,3430.0
80,Fiji,2021-09-05,1750.0
81,Cyprus,2021-09-05,1792.0
82,Burundi,2021-09-05,0.0
83,Colombia,2021-09-05,13643.0
84,Serbia,2021-09-05,23422.0
85,Japan,2021-09-05,116515.0
86,Sudan,2021-09-05,7.0
87,Andorra,2021-09-05,21.0
88,Gambia,2021-09-05,0.0
89,Togo,2021-09-05,1568.0
90,United Arab Emirates,2021-09-05,6888.0
91,Thailand,2021-09-05,108164.0
92,Cote d'Ivoire,2021-09-05,1057.0
93,Nepal,2021-09-05,10661.0
94,India,2021-09-05,298326.0
95,Madagascar,2021-09-05,21.0
96,Laos,2021-09-05,1204.0
97,Saint Kitts and Nevis,2021-09-05,0.0
98,Cambodia,2021-09-05,3073.0
99,Samoa,2021-09-05,0.0
100,Italy,2021-09-05,43092.0
101,Sweden,2021-09-05,7728.0
102,Guyana,2021-09-05,1267.0
103,Burkina Faso,2021-09-05,77.0
104,Zimbabwe,2021-09-05,1106.0
105,Ukraine,2021-09-05,17416.0
106,Nicaragua,2021-09-05,0.0
107,Poland,2021-09-05,2527.0
108,Antigua and Barbuda,2021-09-05,63.0
109,South Africa,2021-09-05,58870.0
110,Honduras,2021-09-05,9093.0
111,Malta,2021-09-05,343.0
112,Guinea,2021-09-05,700.0
113,Summer Olympics 2020,2021-09-05,70.0
114,Spain,2021-09-05,47726.0
115,Brazil,2021-09-05,172123.0
116,Mozambique,2021-09-05,2184.0
117,Israel,2021-09-05,56630.0
118,Mauritania,2021-09-05,861.0
119,Mongolia,2021-09-05,26082.0
120,Sao Tome and Principe,2021-09-05,105.0
121,Ecuador,2021-09-05,0.0
122,Yemen,2021-09-05,315.0
123,Guinea-Bissau,2021-09-05,147.0
124,Iran,2021-09-05,211953.0
125,Bhutan,2021-09-05,0.0
126,Saint Vincent and the Grenadines,2021-09-05,35.0
127,Kenya,2021-09-05,5880.0
128,Solomon Islands,2021-09-05,0.0
129,Denmark,2021-09-05,4893.0
130,Australia,2021-09-05,10752.0
131,Saudi Arabia,2021-09-05,0.0
132,Moldova,2021-09-05,2688.0
133,Croatia,2021-09-05,5586.0
134,Romania,2021-09-05,10101.0
135,Mali,2021-09-05,77.0
136,Panama,2021-09-05,3094.0
137,Burma,2021-09-05,23793.0
138,Turkey,2021-09-05,0.0
139,Central African Republic,2021-09-05,0.0
140,Bosnia and Herzegovina,2021-09-05,3878.0
141,Montenegro,2021-09-05,3864.0
142,Congo (Kinshasa),2021-09-05,0.0
143,Norway,2021-09-05,10850.0
144,Algeria,2021-09-05,2751.0
145,Philippines,2021-09-05,139300.0
146,Afghanistan,2021-09-05,322.0
147,Iraq,2021-09-05,47446.0
148,Palau,2021-09-05,0.0
149,Jamaica,2021-09-05,5103.0
150,Uruguay,2021-09-05,1008.0
151,Estonia,2021-09-05,2464.0
152,Liechtenstein,2021-09-05,56.0
153,Finland,2021-09-05,4319.0
154,Georgia,2021-09-05,21238.0
155,Chad,2021-09-05,7.0
156,Vietnam,2021-09-05,91959.0
157,"Korea, South",2021-09-05,12621.0
158,Slovenia,2021-09-05,4284.0
159,Portugal,2021-09-05,10955.0
160,Jordan,2021-09-05,6251.0
161,Maldives,2021-09-05,1183.0
162,Peru,2021-09-05,6818.0
163,Bahamas,2021-09-05,0.0
164,Barbados,2021-09-05,455.0
165,Uzbekistan,2021-09-05,5152.0
166,Austria,2021-09-05,12005.0
167,Hungary,2021-09-05,1358.0
168,Mauritius,2021-09-05,0.0
169,Ghana,2021-09-05,3143.0
170,Bangladesh,2021-09-05,22169.0
171,Syria,2021-09-05,903.0
172,Marshall Islands,2021-09-05,0.0
173,Malawi,2021-09-05,525.0
174,Oman,2021-09-05,511.0
175,Equatorial Guinea,2021-09-05,0.0
176,Belize,2021-09-05,931.0
177,Tanzania,2021-09-05,0.0
178,Libya,2021-09-05,10507.0
179,Netherlands,2021-09-05,18543.0
180,Slovakia,2021-09-05,1393.0
181,El Salvador,2021-09-05,0.0
182,Kyrgyzstan,2021-09-05,1015.0
183,Lebanon,2021-09-05,7154.0
184,Haiti,2021-09-05,140.0
185,Azerbaijan,2021-09-05,26313.0
186,Papua New Guinea,2021-09-05,0.0
187,Malaysia,2021-09-05,135646.0
188,Greece,2021-09-05,19005.0
189,Namibia,2021-09-05,812.0
190,United Kingdom,2021-09-05,255815.0
191,West Bank and Gaza,2021-09-05,17262.0
192,Lithuania,2021-09-05,4949.0
